SaleID,Date,CustomerID,Product,Quantity,UnitPrice,SalesAmount,Region
1,2025-05-21,C1031,Mouse,1,25,25,South
2,2025-02-14,C1075,Monitor,1,500,500,North
3,2025-04-22,C1029,Printer,1,25,25,North
4,2025-11-29,C1089,Printer,5,50,250,West
5,2025-10-29,C1035,Laptop,2,250,500,South
6,2025-05-23,,Mouse,4,100,400,East
7,2025-07-14,C1012,Keyboard,1,25,25,East
8,2025-01-23,C1093,Monitor,5,100,500,North
9,2025-10-10,C1037,Printer,4,25,100,East
10,2025-12-27,C1008,Laptop,5,50,250,South
11,2025-04-30,C1012,Monitor,3,25,75,East
12,2025-03-25,C1047,Keyboard,4,100,400,South
13,2025-11-08,C1081,Mouse,3,25,75,South
14,2025-07-14,C1034,Printer,2,250,500,South
15,2025-04-28,C1004,Keyboard,3,25,75,West
16,2025-04-19,C1072,Keyboard,3,25,75,South
17,2025-11-26,C1058,Mouse,4,250,1000,East
18,2025-10-15,C1068,Keyboard,2,50,100,West
19,2025-07-05,C1028,Mouse,5,250,1250,West
20,2025-02-26,C1019,Mouse,1,25,25,West
21,2025-07-17,C1048,Printer,5,25,125,West
22,2025-10-11,C1001,Laptop,5,100,500,East
23,2025-05-31,C1055,Mouse,3,25,75,West
24,2025-09-14,C1097,Mouse,1,100,100,North
25,2025-11-08,C1025,Mouse,3,500,1500,East
26,2025-09-29,C1000,Printer,2,500,1000,East
27,2025-02-27,C1046,Keyboard,4,25,100,South
28,2025-10-18,C1010,Laptop,1,50,50,West
29,2025-03-06,C1016,Monitor,1,500,500,South
30,2025-11-07,C1054,Mouse,3,500,1500,South
31,2025-12-10,C1083,Keyboard,3,250,750,West
32,2025-03-03,C1031,Mouse,5,250,1250,North
33,2025-10-29,C1070,Mouse,3,25,75,South
34,2025-12-29,C1080,Laptop,1,25,25,South
35,2025-06-19,C1009,Printer,1,25,25,South
36,2025-04-20,C1069,Mouse,3,250,750,West
37,2025-07-28,C1024,Laptop,2,250,500,North
38,2025-08-05,C1052,Monitor,4,100,400,North
39,2025-07-26,C1093,Keyboard,1,25,25,North
40,2025-04-08,C1068,Monitor,2,50,100,South
41,2025-05-23,C1059,Mouse,4,50,200,North
42,2025-02-20,C1006,Printer,4,500,2000,North
43,2025-03-27,C1052,Monitor,1,50,50,West
44,2025-01-31,C1021,Monitor,2,250,500,North
45,2025-08-21,C1036,Monitor,4,100,400,West
46,2025-06-01,C1027,Laptop,2,50,100,North
47,2025-01-26,C1074,Monitor,3,25,75,South
48,2025-02-11,C1023,Laptop,1,500,500,North
49,2025-03-03,C1072,Mouse,2,250,500,North
50,2025-08-03,C1084,Printer,5,25,125,East
51,2025-12-09,C1091,Keyboard,3,50,150,South
52,2025-03-09,C1085,Keyboard,3,250,750,West
53,2025-01-05,C1058,Printer,3,25,75,North
54,2025-04-20,C1064,Keyboard,1,500,500,South
55,2025-05-06,C1047,Keyboard,3,25,75,South
56,2025-12-27,C1038,Printer,4,500,2000,North
57,2025-12-06,C1013,Mouse,5,100,500,East
58,2025-10-11,C1019,Keyboard,1,25,25,East
59,2025-06-25,C1026,Keyboard,5,50,250,West
60,2025-02-17,C1081,Monitor,3,25,75,East
61,2025-06-20,C1098,Mouse,1,25,25,East
62,2025-10-10,C1090,Monitor,2,250,500,North
63,2025-12-20,C1019,Printer,1,25,25,North
64,2025-10-10,C1018,Monitor,3,500,1500,South
65,2025-07-06,C1005,Keyboard,1,100,100,South
66,2025-07-01,C1099,Printer,2,25,50,West
67,2025-05-02,C1020,Mouse,5,50,250,West
68,2025-06-20,C1100,Monitor,1,50,50,South
69,2025-12-26,C1013,Monitor,3,50,150,North
70,2025-04-13,C1058,Keyboard,4,50,200,East
71,2025-01-13,C1084,Mouse,2,50,100,West
72,2025-02-05,C1098,Keyboard,3,100,300,East
73,2025-12-14,C1068,Keyboard,5,250,1250,North
74,2025-04-02,C1074,Keyboard,1,100,100,North
75,2025-08-11,C1044,Keyboard,1,500,500,West
76,2025-03-01,C1049,Printer,5,500,2500,South
77,2025-12-29,C1055,Laptop,3,25,75,South
78,2025-02-05,C1085,Keyboard,3,250,750,East
79,2025-09-17,C1039,Monitor,1,100,100,East
80,2025-10-11,C1016,Mouse,4,100,400,West
81,2025-11-12,C1072,Keyboard,4,50,200,West
82,2025-06-05,C1036,Mouse,5,25,125,West
83,2025-12-02,C1041,Monitor,5,500,2500,West
84,2025-09-19,C1060,Mouse,4,50,200,North
85,2025-12-06,C1081,Printer,3,500,1500,East
86,2025-12-11,C1039,Mouse,1,50,50,South
87,2025-01-24,C1031,Monitor,2,25,50,North
88,2025-11-19,C1073,Mouse,4,250,1000,West
89,2025-05-05,C1018,Laptop,4,250,1000,North
90,2025-04-01,C1089,Printer,4,50,200,West
91,2025-05-08,C1015,Monitor,1,500,500,South
92,2025-10-14,C1076,Keyboard,4,500,2000,West
93,2025-08-07,C1070,Monitor,5,500,2500,South
94,2025-05-13,C1096,Mouse,4,250,1000,East
95,2025-11-17,C1030,Keyboard,5,250,1250,West
96,2025-05-01,C1034,Keyboard,1,100,100,East
97,2025-03-12,C1019,Mouse,5,25,125,West
98,2025-02-02,C1053,Monitor,2,50,100,East
99,2025-08-01,C1007,Mouse,5,250,1250,West
100,2025-12-23,C1002,Printer,4,500,2000,West
101,2025-06-30,C1038,Monitor,4,25,100,West
102,2025-11-05,C1028,Monitor,5,500,2500,South
103,2025-09-06,C1003,Monitor,3,250,750,East
104,2025-08-28,C1016,Printer,4,50,200,North
105,2025-10-16,C1084,Laptop,4,500,2000,North
106,2025-08-25,C1023,Laptop,4,50,200,East
107,2025-04-19,C1058,Keyboard,4,100,400,East
108,2025-08-04,C1032,Laptop,4,100,400,West
109,2025-01-27,C1044,Mouse,1,500,500,North
110,2025-05-07,C1025,Laptop,1,25,25,South
111,2025-08-31,C1085,Laptop,2,50,100,South
112,2025-07-08,C1021,Printer,4,100,400,North
113,2025-02-25,C1074,Laptop,2,100,200,East
114,2025-07-23,C1091,Mouse,5,250,1250,North
115,2025-02-22,C1089,Keyboard,5,50,250,North
116,2025-06-27,C1068,Monitor,5,25,125,East
117,2025-11-28,C1043,Laptop,1,500,500,West
118,2025-08-10,C1046,Monitor,4,25,100,South
119,2025-09-25,C1083,Keyboard,4,50,200,West
120,2025-10-31,C1034,Keyboard,4,250,1000,South
121,2025-08-19,C1031,Monitor,1,100,100,West
122,2025-09-11,C1041,Mouse,3,25,75,West
123,2025-05-13,C1043,Keyboard,2,100,200,East
124,2025-09-22,C1024,Laptop,5,25,125,South
125,2025-10-12,C1097,Mouse,4,250,1000,West
126,2025-01-09,C1011,Keyboard,4,250,1000,South
127,2025-06-06,C1084,Printer,4,50,200,East
128,2025-09-29,C1044,Monitor,4,500,2000,East
129,2025-05-19,C1039,Keyboard,3,250,750,South
130,2025-06-11,C1015,Printer,1,50,50,South
131,2025-09-05,C1035,Printer,2,50,100,East
132,2025-06-01,C1029,Keyboard,1,50,50,South
133,2025-12-29,C1068,Mouse,3,25,75,East
134,2025-10-11,C1037,Mouse,1,25,25,West
135,2025-10-21,C1036,Monitor,1,25,25,West
136,2025-04-05,C1006,Keyboard,4,100,400,West
137,2025-07-25,C1062,Laptop,1,25,25,North
138,2025-10-16,C1038,Laptop,2,50,100,South
139,2025-08-02,C1077,Printer,1,500,500,South
140,2025-08-19,C1056,Keyboard,5,250,1250,West
141,2025-11-14,C1007,Printer,3,500,1500,North
142,2025-05-16,C1084,Laptop,2,50,100,South
143,2025-10-10,C1009,Mouse,2,50,100,North
144,2025-12-19,C1076,Monitor,4,250,1000,East
145,2025-05-28,C1090,Keyboard,1,50,50,West
146,2025-05-16,C1100,Printer,1,50,50,South
147,2025-10-06,C1028,Mouse,4,25,100,East
148,2025-01-31,C1021,Keyboard,2,25,50,East
149,2025-08-28,C1088,Keyboard,4,25,100,West
150,2025-10-04,C1063,Monitor,3,500,1500,North
151,2025-08-10,C1094,Keyboard,5,25,125,East
152,2025-04-28,C1086,Printer,1,25,25,North
153,2025-01-21,C1097,Mouse,3,500,1500,West
154,2025-05-23,C1023,Printer,5,250,1250,West
155,2025-08-29,C1044,Monitor,4,25,100,East
156,2025-03-24,C1042,Monitor,3,25,75,West
157,2025-10-09,C1004,Monitor,3,250,750,North
158,2025-06-15,C1014,Monitor,3,100,300,North
159,2025-07-31,C1006,Mouse,5,250,1250,East
160,2025-11-17,C1056,Laptop,5,250,1250,South
161,2025-03-09,C1036,Monitor,3,500,1500,West
162,2025-11-19,C1077,Mouse,1,25,25,South
163,2025-01-08,C1070,Monitor,3,500,1500,North
164,2025-08-25,C1015,Mouse,2,25,50,West
165,2025-12-28,C1034,Monitor,3,500,1500,West
166,2025-08-22,C1070,Mouse,4,50,200,West
167,2025-09-18,C1095,Mouse,2,500,1000,North
168,2025-06-24,C1100,Printer,3,250,750,East
169,2025-06-02,C1075,Printer,1,100,100,West
170,2025-10-03,C1061,Keyboard,2,250,500,East
171,2025-07-13,C1058,Keyboard,5,500,2500,South
172,2025-07-16,C1029,Monitor,2,500,1000,North
173,2025-12-28,C1048,Monitor,3,250,750,South
174,2025-03-06,C1064,Printer,4,25,100,East
175,2025-02-21,C1067,Monitor,1,250,250,North
176,2025-12-02,C1019,Laptop,2,250,500,West
177,2025-11-16,C1088,Monitor,3,100,300,North
178,2025-07-14,C1040,Monitor,3,500,1500,North
179,2025-05-01,C1080,Keyboard,5,25,125,South
180,2025-02-20,C1097,Laptop,1,250,250,West
181,2025-01-15,C1005,Keyboard,2,100,200,North
182,2025-07-11,C1055,Mouse,3,100,300,South
183,2025-10-17,C1087,Mouse,5,250,1250,South
184,2025-11-09,C1048,Printer,2,25,50,South
185,2025-03-15,C1029,Monitor,4,500,2000,East
186,2025-12-08,C1001,Monitor,4,100,400,East
187,2025-02-07,C1056,Keyboard,5,50,250,East
188,2025-08-22,C1038,Mouse,4,100,400,West
189,2025-05-02,C1048,Printer,4,25,100,East
190,2025-12-25,C1037,Laptop,5,100,500,West
191,2025-10-17,C1087,Laptop,3,25,75,West
192,2025-11-07,C1045,Mouse,3,50,150,South
